OBJECTID *,name,x,y,z,floor
168,Residence Road,607651.7833,4822668.175,131.3476,1
169,Residence Road,607651.7833,4822668.175,131.3476,1
170,Residence Road,607644.3284,4822674.84,131.8434,1
171,Residence Road,607636.8736,4822681.505,132.3767,1
172,Residence Road,607635.1096,4822683.082,132.5,1
173,Residence Road,607644.3284,4822674.84,131.8434,1
174,Residence Road,607636.8736,4822681.505,132.3767,1
175,Residence Road,607635.1096,4822683.082,132.5,1
176,Residence Road,607628.0381,4822687.712,132.8776,1
177,Residence Road,607628.0381,4822687.712,132.8776,1
178,Residence Road,607621.2693,4822690.092,133.3855,1
179,Residence Road,607621.2693,4822690.092,133.3855,1
180,Residence Road,607620.8748,4822690.199,133.4073,1
181,Residence Road,607620.8748,4822690.199,133.4073,1
182,Residence Road,607613.2026,4822692.285,133.681,1
183,Residence Road,607613.2026,4822692.285,133.681,1
184,Residence Road,607608.2889,4822693.861,133.8242,1
185,Residence Road,607608.2889,4822693.861,133.8242,1
186,Residence Road,607604.1862,4822695.762,134.2075,1
187,Residence Road,607604.1862,4822695.762,134.2075,1
188,Residence Road,607596.4519,4822702.101,134.5414,1
189,Residence Road,607596.4519,4822702.101,134.5414,1
190,Residence Road,607596.1296,4822702.365,134.5531,1
191,Residence Road,607596.1296,4822702.365,134.5531,1
192,Residence Road,607588.7175,4822709.077,134.8765,1
193,Residence Road,607588.7175,4822709.077,134.8765,1
194,Residence Road,607582.8228,4822714.416,134.7611,1
195,Residence Road,607582.8228,4822714.416,134.7611,1
196,Residence Road,607579.0386,4822717.11,134.718,1
197,Inner Circle,607989.6027,4822416.382,124.9633,1
198,Inner Circle,607998.7854,4822415.163,124.5363,1
199,Inner Circle,607998.7854,4822415.163,124.5363,1
200,Inner Circle,608005.8686,4822414.866,124.465,1
201,Inner Circle,608005.8686,4822414.866,124.465,1
202,Inner Circle,608011.8737,4822415.285,124.3104,1
203,Inner Circle,608011.8737,4822415.285,124.3104,1
204,Inner Circle,608020.3628,4822416.499,124.0838,1
205,Inner Circle,608020.3628,4822416.499,124.0838,1
206,Inner Circle,608027.1629,4822418.23,123.979,1
