OBJECTID *,Shape *,slope_max,slope_avg,edge_name,surface,length,start_x,start_y,start_z,end_x,end_y,end_z,floor
62,Polyline Z,1.894648,1.575272,Residence Road,asphalt,3.410158,607792.5381,4822551.647,125.8163,607790.5417,4822554.412,125.87,1
63,Polyline Z,2.530558,1.422222,Residence Road,asphalt,9.999948,607790.5417,4822554.412,125.87,607784.0895,4822562.052,126.0122,1
64,Polyline Z,3.326766,2.516157,Residence Road,asphalt,6.569817,607784.0895,4822562.052,126.0122,607779.8505,4822567.071,126.1775,1
65,Polyline Z,3.036488,2.299262,Residence Road,asphalt,6.332411,607779.8505,4822567.071,126.1775,607775.4704,4822571.644,126.3231,1
66,Polyline Z,4.481326,3.167725,Residence Road,asphalt,9.999963,607775.4704,4822571.644,126.3231,607768.4355,4822578.751,126.6399,1
67,Polyline Z,1.333774,0.947964,Residence Road,asphalt,2.941461,607761.4005,4822585.858,126.8786,607759.3312,4822587.949,126.9065,1
68,Polyline Z,3.576451,2.387675,Residence Road,asphalt,10.000034,607768.4355,4822578.751,126.6399,607761.4005,4822585.858,126.8786,1
69,Polyline Z,0.457508,0.280618,Residence Road,asphalt,10.00003,607759.3312,4822587.949,126.9065,607751.8589,4822594.595,126.8957,1
70,Polyline Z,2.324734,1.391708,Residence Road,asphalt,9.999955,607736.9144,4822607.886,126.9539,607729.4422,4822614.532,127.093,1
71,Polyline Z,1.003706,0.514502,Residence Road,asphalt,10.00003,607744.3867,4822601.24,126.9024,607736.9144,4822607.886,126.9539,1
72,Polyline Z,0.143255,0.103602,Residence Road,asphalt,9.999955,607751.8589,4822594.595,126.8957,607744.3867,4822601.24,126.9024,1
73,Polyline Z,3.001301,2.68436,Residence Road,asphalt,3.741971,607721.9699,4822621.177,127.3244,607719.1738,4822623.664,127.4249,1
74,Polyline Z,2.420133,2.31425,Residence Road,asphalt,10.00003,607729.4422,4822614.532,127.093,607721.9699,4822621.177,127.3244,1
75,Polyline Z,4.735744,4.104485,Residence Road,asphalt,10.000022,607719.1738,4822623.664,127.4249,607711.6569,4822630.259,127.8353,1
76,Polyline Z,5.032266,4.426844,Residence Road,asphalt,7.782205,607711.6569,4822630.259,127.8353,607705.8071,4822635.392,128.1798,1
77,Polyline Z,5.817787,5.611684,Residence Road,asphalt,8.521376,607705.8071,4822635.392,128.1798,607698.931,4822640.425,128.658,1
78,Polyline Z,7.45401,5.124307,Residence Road,asphalt,9.99998,607698.931,4822640.425,128.658,607690.4746,4822645.763,129.1704,1
79,Polyline Z,5.039327,5.039327,Residence Road,asphalt,0.019727,607673.5617,4822656.438,130.2193,607673.545,4822656.448,130.2203,1
80,Polyline Z,4.879305,3.814583,Residence Road,asphalt,9.99998,607682.0181,4822651.1,129.8378,607673.5617,4822656.438,130.2193,1
81,Polyline Z,8.358757,6.675262,Residence Road,asphalt,10.000065,607690.4746,4822645.763,129.1704,607682.0181,4822651.1,129.8378,1
82,Polyline Z,5.909033,4.550964,Residence Road,asphalt,9.999969,607673.545,4822656.448,130.2203,607664.5963,4822660.911,130.6753,1
83,Polyline Z,3.571712,2.726957,Residence Road,asphalt,8.158611,607664.5963,4822660.911,130.6753,607657.2954,4822664.553,130.8978,1
84,Polyline Z,8.786793,6.821963,Residence Road,asphalt,6.595614,607657.2954,4822664.553,130.8978,607651.7833,4822668.175,131.3476,1
85,Polyline Z,7.18309,4.958329,Residence Road,asphalt,10.000021,607651.7833,4822668.175,131.3476,607644.3284,4822674.84,131.8434,1
86,Polyline Z,5.759625,5.210382,Residence Road,asphalt,2.366208,607636.8736,4822681.505,132.3767,607635.1096,4822683.082,132.5,1
87,Polyline Z,7.016018,5.333962,Residence Road,asphalt,9.999947,607644.3284,4822674.84,131.8434,607636.8736,4822681.505,132.3767,1
88,Polyline Z,4.886843,4.467965,Residence Road,asphalt,8.452506,607635.1096,4822683.082,132.5,607628.0381,4822687.712,132.8776,1
89,Polyline Z,9.399767,7.081018,Residence Road,asphalt,7.174997,607628.0381,4822687.712,132.8776,607621.2693,4822690.092,133.3855,1
