OBJECTID *,start_x,start_y,start_z,end_x,end_y,end_z
130,607775.4704,4822571.644,126.3231,607768.4355,4822578.751,126.6399
131,607761.4005,4822585.858,126.8786,607759.3312,4822587.949,126.9065
132,607761.4005,4822585.858,126.8786,607759.3312,4822587.949,126.9065
133,607768.4355,4822578.751,126.6399,607761.4005,4822585.858,126.8786
134,607768.4355,4822578.751,126.6399,607761.4005,4822585.858,126.8786
135,607759.3312,4822587.949,126.9065,607751.8589,4822594.595,126.8957
136,607759.3312,4822587.949,126.9065,607751.8589,4822594.595,126.8957
137,607736.9144,4822607.886,126.9539,607729.4422,4822614.532,127.093
138,607736.9144,4822607.886,126.9539,607729.4422,4822614.532,127.093
139,607744.3867,4822601.24,126.9024,607736.9144,4822607.886,126.9539
140,607744.3867,4822601.24,126.9024,607736.9144,4822607.886,126.9539
141,607751.8589,4822594.595,126.8957,607744.3867,4822601.24,126.9024
142,607751.8589,4822594.595,126.8957,607744.3867,4822601.24,126.9024
143,607721.9699,4822621.177,127.3244,607719.1738,4822623.664,127.4249
144,607721.9699,4822621.177,127.3244,607719.1738,4822623.664,127.4249
145,607729.4422,4822614.532,127.093,607721.9699,4822621.177,127.3244
146,607729.4422,4822614.532,127.093,607721.9699,4822621.177,127.3244
147,607719.1738,4822623.664,127.4249,607711.6569,4822630.259,127.8353
148,607719.1738,4822623.664,127.4249,607711.6569,4822630.259,127.8353
149,607711.6569,4822630.259,127.8353,607705.8071,4822635.392,128.1798
150,607711.6569,4822630.259,127.8353,607705.8071,4822635.392,128.1798
151,607705.8071,4822635.392,128.1798,607698.931,4822640.425,128.658
152,607705.8071,4822635.392,128.1798,607698.931,4822640.425,128.658
153,607698.931,4822640.425,128.658,607690.4746,4822645.763,129.1704
154,607698.931,4822640.425,128.658,607690.4746,4822645.763,129.1704
155,607673.5617,4822656.438,130.2193,607673.545,4822656.448,130.2203
156,607673.5617,4822656.438,130.2193,607673.545,4822656.448,130.2203
157,607682.0181,4822651.1,129.8378,607673.5617,4822656.438,130.2193
158,607682.0181,4822651.1,129.8378,607673.5617,4822656.438,130.2193
159,607690.4746,4822645.763,129.1704,607682.0181,4822651.1,129.8378
160,607690.4746,4822645.763,129.1704,607682.0181,4822651.1,129.8378
161,607673.545,4822656.448,130.2203,607664.5963,4822660.911,130.6753
162,607673.545,4822656.448,130.2203,607664.5963,4822660.911,130.6753
163,607664.5963,4822660.911,130.6753,607657.2954,4822664.553,130.8978
164,607664.5963,4822660.911,130.6753,607657.2954,4822664.553,130.8978
165,607657.2954,4822664.553,130.8978,607651.7833,4822668.175,131.3476
166,607657.2954,4822664.553,130.8978,607651.7833,4822668.175,131.3476
167,607651.7833,4822668.175,131.3476,607644.3284,4822674.84,131.8434
168,607651.7833,4822668.175,131.3476,607644.3284,4822674.84,131.8434
169,607636.8736,4822681.505,132.3767,607635.1096,4822683.082,132.5
170,607636.8736,4822681.505,132.3767,607635.1096,4822683.082,132.5
171,607644.3284,4822674.84,131.8434,607636.8736,4822681.505,132.3767
172,607644.3284,4822674.84,131.8434,607636.8736,4822681.505,132.3767
173,607635.1096,4822683.082,132.5,607628.0381,4822687.712,132.8776
174,607635.1096,4822683.082,132.5,607628.0381,4822687.712,132.8776
175,607628.0381,4822687.712,132.8776,607621.2693,4822690.092,133.3855
176,607628.0381,4822687.712,132.8776,607621.2693,4822690.092,133.3855
177,607621.2693,4822690.092,133.3855,607620.8748,4822690.199,133.4073
178,607621.2693,4822690.092,133.3855,607620.8748,4822690.199,133.4073
179,607620.8748,4822690.199,133.4073,607613.2026,4822692.285,133.681
180,607620.8748,4822690.199,133.4073,607613.2026,4822692.285,133.681
181,607613.2026,4822692.285,133.681,607608.2889,4822693.861,133.8242
182,607613.2026,4822692.285,133.681,607608.2889,4822693.861,133.8242
183,607608.2889,4822693.861,133.8242,607604.1862,4822695.762,134.2075
184,607608.2889,4822693.861,133.8242,607604.1862,4822695.762,134.2075
185,607604.1862,4822695.762,134.2075,607596.4519,4822702.101,134.5414
186,607604.1862,4822695.762,134.2075,607596.4519,4822702.101,134.5414
187,607596.4519,4822702.101,134.5414,607596.1296,4822702.365,134.5531
188,607596.4519,4822702.101,134.5414,607596.1296,4822702.365,134.5531
189,607596.1296,4822702.365,134.5531,607588.7175,4822709.077,134.8765
190,607596.1296,4822702.365,134.5531,607588.7175,4822709.077,134.8765
191,607588.7175,4822709.077,134.8765,607582.8228,4822714.416,134.7611
192,607588.7175,4822709.077,134.8765,607582.8228,4822714.416,134.7611
193,607582.8228,4822714.416,134.7611,607579.0386,4822717.11,134.718
194,607582.8228,4822714.416,134.7611,607579.0386,4822717.11,134.718
195,607989.6027,4822416.382,124.9633,607998.7854,4822415.163,124.5363
196,607989.6027,4822416.382,124.9633,607998.7854,4822415.163,124.5363
197,607998.7854,4822415.163,124.5363,608005.8686,4822414.866,124.465
198,607998.7854,4822415.163,124.5363,608005.8686,4822414.866,124.465
199,608005.8686,4822414.866,124.465,608011.8737,4822415.285,124.3104
200,608005.8686,4822414.866,124.465,608011.8737,4822415.285,124.3104
201,608011.8737,4822415.285,124.3104,608020.3628,4822416.499,124.0838
202,608011.8737,4822415.285,124.3104,608020.3628,4822416.499,124.0838
203,608020.3628,4822416.499,124.0838,608027.1629,4822418.23,123.979
204,608020.3628,4822416.499,124.0838,608027.1629,4822418.23,123.979
205,608027.1629,4822418.23,123.979,608033.1577,4822420.293,123.8982
206,608027.1629,4822418.23,123.979,608033.1577,4822420.293,123.8982
207,608033.2662,4822391.944,124.6523,608031.3772,4822386.804,124.7074
208,608033.2662,4822391.944,124.6523,608031.3772,4822386.804,124.7074
209,608031.3772,4822386.804,124.7074,608029.7977,4822382.524,124.6078
210,608031.3772,4822386.804,124.7074,608029.7977,4822382.524,124.6078
211,608029.7977,4822382.524,124.6078,608028.4568,4822372.614,123.8907
212,608029.7977,4822382.524,124.6078,608028.4568,4822372.614,123.8907
213,608028.4568,4822372.614,123.8907,608027.5155,4822365.657,123.5798
214,608028.4568,4822372.614,123.8907,608027.5155,4822365.657,123.5798
215,608027.5155,4822365.657,123.5798,608026.523,4822357.032,123.0321
216,608027.5155,4822365.657,123.5798,608026.523,4822357.032,123.0321
217,608026.523,4822357.032,123.0321,608025.1473,4822348.111,122.9486
218,608026.523,4822357.032,123.0321,608025.1473,4822348.111,122.9486
219,608025.1473,4822348.111,122.9486,608022.83,4822340.464,122.8295
220,608025.1473,4822348.111,122.9486,608022.83,4822340.464,122.8295
221,608022.83,4822340.464,122.8295,608019.6567,4822333.281,122.7214
222,608022.83,4822340.464,122.8295,608019.6567,4822333.281,122.7214
223,608019.6567,4822333.281,122.7214,608016.529,4822327.788,122.8355
224,608019.6567,4822333.281,122.7214,608016.529,4822327.788,122.8355
225,608016.529,4822327.788,122.8355,608012.2788,4822322.754,122.846
226,608016.529,4822327.788,122.8355,608012.2788,4822322.754,122.846
227,608012.2788,4822322.754,122.846,608004.0245,4822317.109,122.788
228,608012.2788,4822322.754,122.846,608004.0245,4822317.109,122.788
229,607995.7703,4822311.463,122.333,607991.8018,4822308.749,122.0313
230,607995.7703,4822311.463,122.333,607991.8018,4822308.749,122.0313
231,608004.0245,4822317.109,122.788,607995.7703,4822311.463,122.333
232,608004.0245,4822317.109,122.788,607995.7703,4822311.463,122.333
233,607991.8018,4822308.749,122.0313,607985.9695,4822306.123,122.0477
234,607991.8018,4822308.749,122.0313,607985.9695,4822306.123,122.0477
235,607985.9695,4822306.123,122.0477,607980.989,4822305.798,122.2772
236,607985.9695,4822306.123,122.0477,607980.989,4822305.798,122.2772
237,607980.989,4822305.798,122.2772,607976.0464,4822306.641,122.5335
238,607980.989,4822305.798,122.2772,607976.0464,4822306.641,122.5335
239,607976.0464,4822306.641,122.5335,607970.0982,4822309.711,122.8004
240,607976.0464,4822306.641,122.5335,607970.0982,4822309.711,122.8004
241,607970.0982,4822309.711,122.8004,607961.6572,4822315.073,123.0721
242,607970.0982,4822309.711,122.8004,607961.6572,4822315.073,123.0721
243,607961.6572,4822315.073,123.0721,607954.6278,4822319.538,123.699
244,607961.6572,4822315.073,123.0721,607954.6278,4822319.538,123.699
245,607954.6278,4822319.538,123.699,607951.3008,4822322.418,123.8535
246,607954.6278,4822319.538,123.699,607951.3008,4822322.418,123.8535
247,607951.3008,4822322.418,123.8535,607950.3962,4822323.403,123.8832
248,607951.3008,4822322.418,123.8535,607950.3962,4822323.403,123.8832
249,607950.3962,4822323.403,123.8832,607943.8356,4822330.547,124.1873
250,607950.3962,4822323.403,123.8832,607943.8356,4822330.547,124.1873
251,607943.8356,4822330.547,124.1873,607943.7508,4822330.639,124.1927
252,607943.8356,4822330.547,124.1873,607943.7508,4822330.639,124.1927
253,607943.7508,4822330.639,124.1927,607943.734,4822330.667,124.194
254,607943.7508,4822330.639,124.1927,607943.734,4822330.667,124.194
255,607943.734,4822330.667,124.194,607938.6198,4822339.223,124.621
256,607943.734,4822330.667,124.194,607938.6198,4822339.223,124.621
257,607938.6198,4822339.223,124.621,607934.733,4822345.725,124.9102
258,607938.6198,4822339.223,124.621,607934.733,4822345.725,124.9102
259,607934.733,4822345.725,124.9102,607929.6028,4822354.308,125.0333
260,607934.733,4822345.725,124.9102,607929.6028,4822354.308,125.0333
261,607929.6028,4822354.308,125.0333,607924.5859,4822362.703,125.0978
262,607929.6028,4822354.308,125.0333,607924.5859,4822362.703,125.0978
263,607924.5859,4822362.703,125.0978,607919.4547,4822371.286,125.2177
264,607924.5859,4822362.703,125.0978,607919.4547,4822371.286,125.2177
265,607919.4547,4822371.286,125.2177,607916.0083,4822377.051,125.3482
266,607919.4547,4822371.286,125.2177,607916.0083,4822377.051,125.3482
267,607916.0083,4822377.051,125.3482,607914.623,4822381.294,125.4595
268,607916.0083,4822377.051,125.3482,607914.623,4822381.294,125.4595
269,607914.623,4822381.294,125.4595,607914.0599,4822385.662,125.5767
270,607914.623,4822381.294,125.4595,607914.0599,4822385.662,125.5767
271,607914.0599,4822385.662,125.5767,607914.2579,4822388.932,125.6584
272,607914.0599,4822385.662,125.5767,607914.2579,4822388.932,125.6584
273,607914.2579,4822388.932,125.6584,607916.3602,4822393.875,125.7482
274,607914.2579,4822388.932,125.6584,607916.3602,4822393.875,125.7482
275,607916.3602,4822393.875,125.7482,607922.3185,4822401.907,125.7872
276,607916.3602,4822393.875,125.7482,607922.3185,4822401.907,125.7872
277,607934.2352,4822417.969,125.7664,607938.0181,4822423.068,125.8073
